time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450350000	14,3732	20,5341	4,89132	2,78105	0,522555	radar	7613,33	13,841	21,0031	14,3897	20,5904	-4,55149	1,62386
1477010450400000	14,1328	20,6208	4,90459	2,80768	0,522689	lidar	3953,71	14,0521	20,5924	14,1611	20,6686	-4,59537	1,50421
1477010450450000	13,8915	20,7008	4,92517	2,83867	0,531931	radar	7551,22	13,8232	20,859	13,9304	20,7408	-4,63606	1,38386
1477010450500000	13,6331	20,7785	4,95375	2,86598	0,531953	lidar	3886,39	13,4686	20,7253	13,6977	20,807	-4,67357	1,26294
1477010450550000	13,3962	20,7943	4,95603	2,91689	0,568818	radar	7379,24	13,8263	20,4261	13,4632	20,8671	-4,70789	1,14153
1477010450600000	13,1486	20,8476	4,96277	2,9455	0,568822	lidar	3853	13,1072	20,8294	13,2271	20,9211	-4,73904	1,01975
1477010450650000	12,9282	20,9155	4,94915	2,96688	0,56381	radar	7595,22	13,2669	21,1579	12,9895	20,969	-4,76702	0,897694
1477010450700000	12,7044	20,9528	4,9253	2,9942	0,563655	lidar	3875,6	12,8729	21,0592	12,7506	21,0108	-4,79186	0,775469
1477010450750000	12,4113	21,0234	5,00455	3,01852	0,561573	radar	7544,38	11,5171	21,6724	12,5106	21,0465	-4,81358	0,653175
1477010450800000	12,1655	21,053	5,00251	3,04594	0,561152	lidar	3782,6	12,2062	21,11	12,2695	21,0761	-4,83219	0,530912
1477010450850000	11,9398	21,075	4,98664	3,07553	0,56688	radar	7428,55	12,3859	21,1066	12,0276	21,0996	-4,84773	0,408778
1477010450900000	11,7022	21,0713	4,9667	3,10729	0,569683	lidar	3637,68	11,6814	20,8651	11,785	21,117	-4,86022	0,286869
1477010450950000	11,4536	21,0446	4,96146	3,14504	0,578988	radar	7086,94	11,5265	20,6748	11,5418	21,1283	-4,86971	0,165281
1477010451000000	11,2271	21,0339	4,93434	3,17498	0,580261	lidar	3645,58	11,363	21,0688	11,2982	21,1335	-4,87623	0,0441057
1477010451050000	10,9517	20,9831	4,95967	3,21478	0,588904	radar	6902,44	10,5558	20,5567	11,0544	21,1327	-4,87982	-0,076565
1477010451100000	10,7341	20,9491	4,92169	3,24698	0,591718	lidar	3540,92	10,8903	20,927	10,8105	21,1259	-4,88053	-0,196643
1477010451150000	10,4401	20,9731	4,93181	3,25144	0,554754	radar	7132,59	9,30535	21,3896	10,5666	21,1131	-4,8784	-0,31604
1477010451200000	10,1805	20,9626	4,95422	3,27426	0,550675	lidar	3522,23	10,189	21,209	10,3229	21,0943	-4,87349	-0,434674
1477010451250000	9,94147	20,9599	4,94289	3,29128	0,539657	radar	7187,85	9,97958	21,2932	10,0795	21,0697	-4,86585	-0,552463
1477010451300000	9,73987	20,9088	4,89128	3,32199	0,543536	lidar	3436,28	9,99634	20,9797	9,83658	21,0391	-4,85554	-0,669327
1477010451350000	9,50541	20,9136	4,81955	3,32214	0,504272	radar	7005,43	9,38223	21,111	9,59422	21,0028	-4,84262	-0,785189
1477010451400000	9,31002	20,8546	4,76952	3,35212	0,508842	lidar	3352,11	9,53921	20,8762	9,35258	20,9607	-4,82714	-0,899977
1477010451450000	9,11166	20,8183	4,73094	3,37498	0,507704	radar	7002,33	9,63392	20,9724	9,11177	20,9128	-4,80919	-1,01362
1477010451500000	8,85161	20,774	4,76835	3,39557	0,503423	lidar	3240,71	8,70331	20,8221	8,87192	20,8594	-4,78881	-1,12605
1477010451550000	8,69922	20,6651	4,6777	3,43747	0,518482	radar	6583,64	9,84634	20,009	8,63315	20,8003	-4,76608	-1,2372
1477010451600000	8,44201	20,5993	4,7186	3,45996	0,515143	lidar	3100,53	8,22277	20,4839	8,39557	20,7358	-4,74108	-1,34701
1477010451650000	8,22218	20,516	4,72834	3,4898	0,521048	radar	6682,92	8,29647	20,4978	8,1593	20,6657	-4,71387	-1,45542
1477010451700000	7,98209	20,4394	4,75048	3,51273	0,518296	lidar	3057,3	7,88599	20,45	7,92445	20,5903	-4,68453	-1,56237
1477010451750000	7,79114	20,3588	4,75892	3,54562	0,532744	radar	6781,11	8,29081	20,6565	7,69111	20,5096	-4,65313	-1,66781
1477010451800000	7,50485	20,2888	4,83661	3,5593	0,52155	lidar	2974,26	7,18029	20,392	7,45939	20,4237	-4,61975	-1,7717
1477010451850000	7,27357	20,1896	4,83301	3,58132	0,514939	radar	6450	7,09214	20,1196	7,22939	20,3326	-4,58448	-1,87399
1477010451900000	7,01286	20,1013	4,88068	3,59818	0,507373	lidar	2888,57	6,81542	20,1859	7,00119	20,2364	-4,54738	-1,97462
1477010451950000	6,80225	20,0144	4,84377	3,61487	0,496309	radar	6458,54	6,89359	20,1536	6,7749	20,1352	-4,50854	-2,07357
1477010452000000	6,55081	19,9171	4,88351	3,63143	0,489403	lidar	2808,65	6,38914	20,0137	6,55059	20,0292	-4,46805	-2,17079
1477010452050000	6,35851	19,8354	4,84376	3,64885	0,48333	radar	6489,58	6,67637	20,2142	6,32834	19,9183	-4,42598	-2,26625
1477010452100000	6,09614	19,7343	4,89847	3,66163	0,473852	lidar	2720,93	5,86119	19,8306	6,10823	19,8027	-4,38241	-2,35993
1477010452150000	5,84259	19,5867	4,99183	3,69103	0,484408	radar	6196,17	5,28178	19,5036	5,89034	19,6824	-4,33744	-2,45178
1477010452200000	5,63657	19,459	4,9848	3,71488	0,484267	lidar	2644,65	5,69089	19,5755	5,67472	19,5577	-4,29114	-2,5418
1477010452250000	5,47174	19,2957	4,94322	3,75135	0,49379	radar	5947,11	5,9506	18,9859	5,46145	19,4284	-4,24359	-2,62995
1477010452300000	5,24315	19,1723	4,96756	3,76714	0,486795	lidar	2574,93	5,17021	19,4397	5,25059	19,2948	-4,19488	-2,71622
1477010452350000	5,10651	19,0702	4,81689	3,78307	0,471665	radar	6049,39	5,87397	19,301	5,04219	19,157	-4,1451	-2,80059
1477010452400000	4,90921	18,9285	4,82203	3,80474	0,470155	lidar	2445,56	4,89149	18,982	4,8363	19,015	-4,09432	-2,88305
1477010452450000	4,65866	18,7936	4,90775	3,81691	0,4642	radar	6029,16	3,98679	19,0452	4,63297	18,8689	-4,04263	-2,96359
1477010452500000	4,46225	18,6492	4,91055	3,83658	0,461511	lidar	2384,56	4,4685	18,834	4,43224	18,7188	-3,99012	-3,0422
1477010452550000	4,30932	18,5088	4,80812	3,85481	0,449873	radar	5714,25	4,69245	18,4634	4,23416	18,5648	-3,93685	-3,11888
